contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
1304204_2014_5_augusta-richmond county_GA_Mayor_mayor_1,27532,2014,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,0,59.74477958236659,149058,48.4,51.6,41,57,4.4,2.4,18.470662426706383,11.912090770929863,none,0,0.6560324262344106,1,0,0,1,1,1,0.3211471148786845,1,10
2717288_2014_11_eagan_MN_Mayor_mayor_1,18680,2014,eagan city,Mayor,Minnesota,0,0.556295317933098,0.596122171814951,0.648506821868142,11,0,100,49144,50.1,49.9,83.4,7.1,4.7,9.1,38.01074393618753,10.802510042843764,midterm,1,0.6003081038720637,1,0,1,1,NA,1,0.7726422714079048,1,28
2735180_2014_11_lakeville_MN_Mayor_mayor_1,15251,2014,lakeville city,Mayor,Minnesota,0,0.448431997316787,0.43567758509955,0.495098398728762,11,0,100,40011,49.2,50.8,91.7,2.7,3.6,5.6,38.11701782009948,10.596909695290504,midterm,1,0.459735993715033,1,0,1,1,1,1,0.636630861446982,1,29
3451000_2014_5_newark_NJ_City Council_synthetic at-large c_4,99083,2014,newark city,City Council,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,1,6.081616481774961,207050,49.9,50.1,28.4,53.9,34.8,2.2,47.85462448683893,12.240715588973714,none,0,0.9182101997304514,0,0,0,0,1,1,0.6657279353428637,1,30
3451000_2014_5_newark_NJ_Mayor_mayor_1,44951,2014,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,0,8.375786968031857,207050,49.9,50.1,28.4,53.9,34.8,2.2,21.710214923931417,12.240715588973714,none,0,0.9182101997304514,1,0,0,1,1,1,0.4345670335556197,1,31
3825700_2014_6_fargo_ND_Mayor_mayor_1,13751,2014,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,6,1,12.44273143771362,88969,49.7,50.3,91.5,3.9,2.8,3.5,15.455945329271994,11.396043273431912,none,0,0.5281931383899187,1,0,0,1,NA,1,0.6619699616348893,1,85
4419180_2014_11_cranston_RI_City Council_synthetic at-large c_3,62153,2014,cranston city,City Council,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,4.1638283378746594,65038,49.6,50.4,84.8,6.2,11.5,6.1,95.56413173836836,11.082726993441389,midterm,1,0.5746240467689313,0,0,1,0,1,1,0.8856579840360419,1,32
4459000_2014_11_providence_RI_Mayor_mayor_1,38335,2014,providence city,Mayor,Rhode Island,0,0.834484019935074,0.854650722773027,0.819127778961574,11,1,7.288457932660113,138038,48.3,51.7,53.6,18.6,40.4,7,27.771338327127314,11.835284288552938,midterm,1,0.8360875072232249,1,0,1,1,NA,1,0.7675908620484846,1,33
4845000_2014_5_lubbock_TX_Mayor_mayor_1,1,2014,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,100,181351,48.9,51.1,80.3,9.1,33.2,3.1,5.514168656362523e-4,12.108189658894908,none,0,0.34665769847743394,1,0,0,1,NA,1,0.5571297094460508,1,94
4848072_2014_5_midland_TX_City Council_synthetic at-large c_1,2265,2014,midland city,City Council,Texas,1,0.230103009725499,0.231023102310231,0.236808051761323,5,0,32.803532008830025,86791,49,51,82.5,8.8,40.4,1.8,2.60971759744674,11.371258208636666,none,0,0.2326447212656843,0,0,0,0,0,1,0.762499456811248,1,69
5157000_2014_5_norfolk_VA_Mayor_mayor_1,15676,2014,norfolk city,Mayor,Virginia,1,0.712487081894487,0.725714285714286,0.733247613304052,5,1,62.98978778880278,194494,52.1,47.9,50.7,44.7,7.1,4.5,8.059888736927617,12.17815659323577,none,0,0.7238163269709417,1,0,0,1,NA,1,0.527575860655033,1,60
541000_2014_11_little rock_AR_Mayor_mayor_1,52046,2014,little rock city,Mayor,Arkansas,1,0.43649422168759,0.693844715201188,0.708625316833159,11,1,100,149002,47.4,52.6,53.4,43,5.8,3.6,34.929732486812256,11.911715007656303,midterm,1,0.612988084573979,1,0,1,1,1,1,0.37276647019039966,1,92
614890_2014_11_colton_CA_Mayor_mayor_1,5336,2014,colton city,Mayor,California,1,0.698407718252412,0.735365949736075,0.684306035239712,11,0,24.13793103448276,36026,49.8,50.2,61,9,72.4,4.5,14.811525009715206,10.491996178983504,midterm,1,0.706026567742733,1,0,1,1,NA,1,0.7242643036033628,1,35
656784_2014_11_petaluma_CA_Mayor_mayor_1,14003,2014,petaluma city,Mayor,California,1,0.758853541416567,0.770701374942067,0.770959324635457,11,1,1.5068199671498963,45143,48.1,51.9,83.2,1.5,23.4,6.2,31.019205635425205,10.71759050806569,midterm,1,0.7668380803313637,1,0,1,1,1,1,0.775425545607907,1,77
685292_2014_4_whittier_CA_City Council_synthetic at-large c_2,9628,2014,whittier city,City Council,California,1,0.597963372276602,0.650529309527571,0.641721727472948,4,1,2.523431867339582,65304,48.5,51.5,60.5,1.5,66.9,5.1,14.743354159010169,11.086808569131192,none,0,0.6300714697590403,0,0,0,0,0,1,0.9020039446520669,1,90
1714000_2015_4_chicago_IL_Mayor_mayor_1,590733,2015,chicago city,Mayor,Illinois,0,0.861763339177313,0.870783569275384,0.838905094905095,4,1,12.460620957352983,2114088,48.5,51.5,50.6,32.3,29.1,6.8,27.942687343194795,14.564134071792855,none,0,0.8571506677859307,1,0,0,1,NA,1,0.7221171787444175,1,35
1805860_2015_11_bloomington_IN_Mayor_mayor_1,8070,2015,bloomington city,Mayor,Indiana,0,0.755401351474198,0.78289886066148,0.80499599902585,11,0,54.845105328376704,73220,49.8,50.2,84.7,6,4.1,10.7,11.021578803605571,11.201223886674228,none,0,0.7810987370538426,1,0,0,1,NA,1,0.8586917140559405,1,36
1827000_2015_11_gary_IN_Mayor_mayor_1,9683,2015,gary city,Mayor,Indiana,0,0.970764486121907,0.950217066400968,0.928521972875005,11,1,63.949378634135215,57359,45,55,14,83.6,5.8,0.8,16.881396119179204,10.957085041369789,none,0,0.94983450846596,1,0,0,1,NA,1,0.15929555760526953,1,37
1840788_2015_11_lafayette_IN_City Council_synthetic at-large d_1,12822,2015,lafayette city,City Council,Indiana,0,0.597614221113363,0.495025681365971,0.536683022571148,11,0,0.769342429960807,54319,48,52,88.2,9.4,12.6,2.1,23.605000092048822,10.902629352637495,none,0,0.543107641683494,0,0,0,0,1,1,0.761501753458098,1,38
1840788_2015_11_lafayette_IN_Mayor_mayor_1,5125,2015,lafayette city,Mayor,Indiana,0,0.597614221113363,0.495025681365971,0.536683022571148,11,1,62.26341463414634,54319,48,52,88.2,9.4,12.6,2.1,9.435004326294669,10.902629352637495,none,0,0.543107641683494,1,0,0,1,1,1,0.5082233793518728,1,39
1851876_2015_11_muncie_IN_Mayor_mayor_1,3269,2015,muncie city,Mayor,Indiana,0,0.665879574970484,0.540547118380062,0.548430015965939,11,1,100,58231,46.9,53.1,87.5,11,2.7,2,5.613848293864093,10.972173137962086,none,0,0.5849522364388283,1,0,0,1,NA,1,0.4273791983220522,1,40
1973335_2015_11_sioux city_IA_Mayor_mayor_1,2126,2015,sioux city city,Mayor,Iowa,1,0.477215560105294,0.44558093346574,0.474094141550965,11,1,100,61449,49.2,50.8,85.7,4.8,18.1,3.6,3.459779654672981,11.025962841468765,none,0,0.465630211707333,1,0,0,1,1,1,0.5797871913907727,1,82
2079000_2015_4_wichita_KS_Mayor_mayor_1,35770,2015,wichita city,Mayor,Kansas,0,0.4755298008442,0.456367895039552,0.496969333253316,4,0,24.640760413754546,286124,49.4,50.6,79.3,13.4,16,5.8,12.501572744684122,12.564180562272789,none,0,0.476289009712356,1,0,0,1,NA,1,0.7161526673209756,1,41
2360545_2015_11_portland_ME_Mayor_mayor_1,17930,2015,portland city,Mayor,Maine,1,0.783081293146275,0.807028228630592,0.838097269624573,11,1,14.202031532373653,55318,49.1,50.9,88.3,9.2,3.1,4,32.41259626161466,10.9208536318352,none,0,0.80940226380048,1,0,0,1,NA,1,0.653666315331186,1,6
2545000_2015_11_new bedford_MA_Mayor_mayor_1,12198,2015,new bedford city,Mayor,Massachusetts,0,0.752100840336134,0.668358007643148,0.621278957669948,11,1,23.82357763567798,74037,47.1,52.9,74.9,9.9,18.3,1.5,16.475546010778395,11.212320247227956,none,0,0.6805792685497433,1,0,0,1,1,1,0.517443028341569,1,42
2634000_2015_8_grand rapids_MI_Mayor_mayor_1,20016,2015,grand rapids city,Mayor,Michigan,1,0.664308194704087,0.675904452690167,0.714555984150174,8,0,37.8635725063739,145989,48.9,51.1,72.2,23.4,15.6,2.9,13.710622033166883,11.891286555386332,none,0,0.684922877181476,1,0,0,1,NA,1,0.5237365198513828,1,39
2674900_2015_11_southfield_MI_Mayor_mayor_1,12469,2015,southfield city,Mayor,Michigan,1,0.889890851173467,0.892974753018661,0.877868068833652,11,0,14.187184216857808,58045,44.4,55.6,26.2,73,1.2,2.3,21.48160909639073,10.968973850772135,none,0,0.8869112243419267,1,0,0,1,NA,1,0.25569012099337285,1,72
2757220_2015_11_st. louis park_MN_Mayor_mayor_1,4320,2015,st. louis park city,Mayor,Minnesota,1,0.700267586789663,0.755374825859407,0.777045354191636,11,0,56.01851851851852,38332,48.5,51.5,85.9,9.3,4.3,5.2,11.269957215903162,10.554040335463652,none,0,0.7442292556135687,1,0,0,1,1,1,0.6450775646431657,1,84
3702140_2015_11_asheville_NC_City Council_at-large a_3,34396,2015,asheville city,City Council,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,0.34959478785952647,70227,46.5,53.5,84,13.4,6,2.7,48.97831318438777,11.15948813145298,none,0,0.7809024036829454,0,0,0,0,1,1,0.7597885578289092,1,33
3774440_2015_11_wilmington_NC_Mayor_mayor_1,5728,2015,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,100,91821,47.1,52.9,77.6,19.6,5.6,2.1,6.238224371331177,11.427596308617357,none,0,0.5675857558953027,1,0,0,1,1,1,0.40483231942530246,1,68
3825700_2015_4_fargo_ND_Mayor_mayor_1,14464,2015,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,4,0,18.902101769911503,91083,49.6,50.4,91,4.6,2.9,3.8,15.88002151883447,11.419526457711646,none,0,0.5281931383899187,1,0,0,1,NA,1,0.6541749193763995,1,67
3925256_2015_11_elyria_OH_Mayor_mayor_1,11355,2015,elyria city,Mayor,Ohio,0,0.650897295475609,0.564294815250417,0.549272879047494,11,1,17.150038669760246,41559,47.6,52.4,82.2,19.6,5.5,1.4,27.322601602540963,10.634869383325988,none,0,0.5881549965911734,1,0,0,1,NA,1,0.467761691442052,1,43
4263624_2015_11_reading_PA_Mayor_mayor_1,9430,2015,reading city,Mayor,Pennsylvania,0,0.814846954875355,0.806429922252574,0.728532212404564,11,0,32.14601769911504,61188,48.9,51.1,66,19.8,61.2,1.1,15.41151859841799,11.021706370843155,none,0,0.783269696510831,1,0,0,1,NA,1,0.512270148692002,1,44
4550875_2015_11_north charleston_SC_Mayor_mayor_1,10568,2015,north charleston city,Mayor,South Carolina,0,0.621082836215359,0.626045682217502,0.657308046077701,11,1,31.136805484498108,78471,49.8,50.2,45.9,50.3,9.7,3.2,13.46739559837392,11.270484408764034,none,0,0.6348121881701874,1,0,0,1,NA,1,0.4472100215270638,1,46
4748000_2015_10_memphis_TN_Mayor_mayor_1,101174,2015,memphis city,Mayor,Tennessee,0,0.760758553138109,0.776561938029945,0.779222209981271,10,1,30.274376065726244,491567,47.6,52.4,31.6,63.9,6.7,2.1,20.58193491426398,13.105353526674714,none,0,0.7721809003831083,1,0,0,1,NA,1,0.32018374599693683,1,47
908000_2015_11_bridgeport_CT_Mayor_mayor_1,20736,2015,bridgeport city,Mayor,Connecticut,0,0.839265864683941,0.83196557553404,0.801479408236705,11,1,30.005224357113832,111115,48.5,51.5,42.8,38.3,39.3,4.2,18.66174683886064,11.61832098001557,none,0,0.8242369494848955,1,0,0,1,NA,1,0.5685045301625222,1,48
937000_2015_11_hartford_CT_City Council_synthetic at-large d_9,49290,2015,hartford city,City Council,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,1,0.08490930142802007,93736,48.6,51.4,40,41.4,44.2,3.1,52.58385252197662,11.448237599347992,none,0,0.906031120235734,0,0,0,0,1,1,0.744295971140864,1,49
937000_2015_11_hartford_CT_Mayor_mayor_1,9982,2015,hartford city,Mayor,Connecticut,0,0.921979841403549,0.923083936060293,0.87302958324336,11,0,61.238654564869194,93736,48.6,51.4,40,41.4,44.2,3.1,10.649056925834255,11.448237599347992,none,0,0.906031120235734,1,0,0,1,1,1,0.4618972760911841,1,50
952000_2015_11_new haven_CT_Mayor_mayor_1,12140,2015,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,1,81.94702210224396,101737,47.3,52.7,45.2,35.8,28.1,5.7,11.932728505853328,11.530146331014546,none,0,0.8756116166085026,1,0,0,1,NA,1,0.5624359028706539,1,16
980000_2015_11_waterbury_CT_Mayor_mayor_1,11510,2015,waterbury city,Mayor,Connecticut,0,0.638029361942405,0.607515210811141,0.603778337531486,11,1,58.13672111312765,82161,48.5,51.5,66,22.6,35.3,2.9,14.009079733693602,11.3164360159013,none,0,0.6164409700950108,1,0,0,1,NA,1,0.5332253119028504,1,51
2735180_2016_11_lakeville_MN_Mayor_mayor_1,28817,2016,lakeville city,Mayor,Minnesota,0,0.448431997316787,0.43567758509955,0.495098398728762,11,0,77.61043828295797,41994,49.9,50.1,91.7,2.9,3.5,5.7,68.62170786302805,10.645282029917595,president,0,0.459735993715033,1,1,0,1,1,1,0.8014916330189387,1,52
4419180_2016_11_cranston_RI_Mayor_mayor_1,35752,2016,cranston city,Mayor,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,36.67487133586932,65127,49,51,84,6.9,13.3,6.7,54.895818938381936,11.084094488756865,president,0,0.5746240467689313,1,1,0,1,1,1,0.8539977085687441,1,53
4845000_2016_5_lubbock_TX_Mayor_mayor_1,21153,2016,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,0,25.05896888689206,187162,49,51,81.2,9,34.5,3.1,11.301973691240743,12.139729830967084,none,0,0.34665769847743394,1,0,0,1,NA,1,0.6314900934503883,1,42
5157000_2016_5_norfolk_VA_Mayor_mayor_1,31695,2016,norfolk city,Mayor,Virginia,1,0.712487081894487,0.725714285714286,0.733247613304052,5,0,34.29706376182481,196024,52.1,47.9,50.5,44.4,7.4,4.5,16.168938497326856,12.185992379695982,none,0,0.7238163269709417,1,0,0,1,NA,1,0.5500499552443888,1,80
550450_2016_11_north little rock_AR_Mayor_mayor_1,20126,2016,north little rock city,Mayor,Arkansas,0,0.636007084399959,0.601118037004057,0.63039963039963,11,1,100,48507,47.4,52.6,54.9,44.8,6.5,1,41.49091883645659,10.789463396407925,president,0,0.6225082506012153,1,1,0,1,NA,1,0.40373291806828027,1,54
648354_2016_2_modesto_CA_Mayor_mayor_1,26492,2016,modesto city,Mayor,California,1,0.539128488285331,0.531079175447214,0.540530956714971,2,1,16.676732598520307,155083,49.1,50.9,75.8,5.1,38.6,8.9,17.082465518464307,11.951715736452025,none,0,0.5369128734825053,1,0,0,1,NA,1,0.8630020302989287,1,71
650258_2016_11_napa_CA_Mayor_mayor_1,27514,2016,napa city,Mayor,California,1,0.680429502748306,0.69949544590787,0.71642210029348,11,1,100,60792,49.4,50.6,79.9,1.2,39.7,3.8,45.2592446374523,11.01521348034962,president,0,0.6987823496498854,1,1,0,1,1,1,0.7617381769674885,1,38
1230000_2017_11_hialeah_FL_Mayor_mayor_1,14766,2017,hialeah city,Mayor,Florida,0,0.359791444023446,0.498377928341755,0.327025900565645,11,1,66.90812594133257,196484,47.5,52.5,94,2.8,96.4,0.4,7.515115734614524,12.188336282039876,none,0,0.39506509097694864,1,0,0,1,NA,1,0.5520422101124752,1,55
1245000_2017_11_miami_FL_Mayor_mayor_1,25471,2017,miami city,Mayor,Florida,1,0.608076882680391,0.705214823053742,0.596543778801843,11,0,88.00860215053764,363920,49.4,50.6,76.8,19.2,72.2,1.2,6.999065728731589,12.804689342243886,none,0,0.6366118281786587,1,0,0,1,NA,1,0.48303885229167265,1,81
2071000_2017_11_topeka_KS_Mayor_mayor_1,16097,2017,topeka city,Mayor,Kansas,1,0.550494174810888,0.553690226369603,0.587079755289892,11,0,3.1123811890414363,97274,47.9,52.1,83.7,13.3,14.3,2.2,16.54810123979686,11.485287017666272,none,0,0.5637547188234611,1,0,0,1,NA,1,0.5552781605915807,1,7
2208920_2017_3_bossier city_LA_Mayor_mayor_1,1,2017,bossier city city,Mayor,Louisiana,0,0.353473322768093,0.392052384926494,0.448901797059357,3,1,100,50551,49.8,50.2,69.3,27.8,8.9,3.4,0.00197820023342762,10.830738006646618,none,0,0.398142501584648,1,0,0,1,NA,1,0.46981159945011963,1,57
2545000_2017_11_new bedford_MA_Mayor_mayor_1,13867,2017,new bedford city,Mayor,Massachusetts,0,0.752100840336134,0.668358007643148,0.621278957669948,11,1,20.732674695319822,74043,47.3,52.7,70.1,8.3,20,2,18.728306524587065,11.21240128450515,none,0,0.6805792685497433,1,0,0,1,1,1,0.5565249937277784,1,58
2674900_2017_11_southfield_MI_Mayor_mayor_1,10628,2017,southfield city,Mayor,Michigan,1,0.889890851173467,0.892974753018661,0.877868068833652,11,1,94.39217162213022,59055,45.1,54.9,25.8,73.2,1.5,2.4,17.996782660231986,10.986224492045949,none,0,0.8869112243419267,1,0,0,1,NA,1,0.20865050192722973,1,37
2686000_2017_11_westland_MI_Mayor_mayor_1,12681,2017,westland city,Mayor,Michigan,0,0.659933627740469,0.587671348078379,0.598543834263534,11,1,15.842599164103778,66193,46.3,53.7,76,19.4,3.2,4.4,19.15761485353436,11.100329996152944,none,0,0.6153829366941274,1,0,0,1,NA,1,0.5964410590563556,1,59
3702140_2017_11_asheville_NC_Mayor_mayor_1,16075,2017,asheville city,Mayor,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,62.5280199252802,73397,47.3,52.7,85.1,13.3,5.9,2.5,21.901440113356134,11.203638341832722,none,0,0.7809024036829454,1,0,0,1,1,1,0.4944895654642076,1,15
3774440_2017_11_wilmington_NC_City Council_synthetic at-large b_3,29508,2017,wilmington city,City Council,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,2.0581239011273142,95121,46.9,53.1,78.3,19.2,6.3,2.1,31.021540984640616,11.462905044345566,none,0,0.5675857558953027,0,0,0,0,1,1,0.7224862973813883,1,70
3774440_2017_11_wilmington_NC_Mayor_mayor_1,10369,2017,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,73.47863824862571,95121,46.9,53.1,78.3,19.2,6.3,2.1,10.900852598269571,11.462905044345566,none,0,0.5675857558953027,1,0,0,1,1,1,0.43440827636543755,1,25
3915000_2017_11_cincinnati_OH_Mayor_mayor_1,62491,2017,cincinnati city,Mayor,Ohio,1,0.754824251682543,0.780373070026315,0.78724507944036,11,1,7.042614136435647,233452,48.2,51.8,53.2,45.4,3.6,2.5,26.768243578979835,12.360731767507383,none,0,0.7741474670497394,1,0,0,1,NA,1,0.4368277771814948,1,40
4714000_2017_3_chattanooga_TN_Mayor_mayor_1,18780,2017,chattanooga city,Mayor,Tennessee,0,0.505216412689722,0.562444612732224,0.589840324085031,3,1,41.6474756421612,140294,46.9,53.1,62.9,34.6,5.6,2.8,13.386174747316351,11.851495499673588,none,0,0.552500449835659,1,0,0,1,NA,1,0.44067902885404797,1,60
4803000_2017_5_amarillo_TX_Mayor_mayor_1,14018,2017,amarillo city,Mayor,Texas,1,0.258885322439451,0.238332356961531,0.277607695524885,5,0,68.50936329588015,144261,49,51,85.8,7.9,31.8,4.7,9.717109960418965,11.8793794379621,none,0,0.258275124975289,1,0,0,1,NA,1,0.6574628511239907,1,13
4824000_2017_6_el paso_TX_Mayor_mayor_1,30095,2017,el paso city,Mayor,Texas,1,0.654364766929319,0.718874742997211,0.681157006190208,6,0,13.999003156670543,493530,48.7,51.3,84.1,4.6,80.8,2,6.097906915486393,13.109338926281575,none,0,0.6847988387055793,1,0,0,1,NA,1,0.6642289760257083,1,43
644000_2017_3_los angeles_CA_Mayor_mayor_1,407147,2017,los angeles city,Mayor,California,0,0.795885053415068,0.827342780032484,0.78129834964421,3,1,81.76980177649519,3109581,49.5,50.5,55,10,48.7,13.2,13.093307426305987,14.94999854839086,none,0,0.801508727697254,1,0,0,1,NA,1,0.9178996703468539,1,61
908420_2017_11_bristol_CT_Mayor_mayor_1,12485,2017,bristol city,Mayor,Connecticut,0,0.610111200275135,0.494990297413964,0.527785363189514,11,0,19.07088506207449,48103,49.1,50.9,88.7,6.3,14.7,2.7,25.95472215870112,10.78109982421129,none,0,0.5442956202928709,1,0,0,1,NA,1,0.6030273626787612,1,62
952000_2017_11_new haven_CT_Mayor_mayor_1,11359,2017,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,1,68.08855806851798,101929,47.3,52.7,45.6,35.3,30.4,5.3,11.14403162986,11.532031771459962,none,0,0.8756116166085026,1,0,0,1,NA,1,0.5638157797251137,1,79
1304204_2018_5_augusta-richmond county_GA_Mayor_mayor_1,29872,2018,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,1,12.258971612212106,150924,48.3,51.7,39,58.6,4.8,2.5,19.79274336752273,11.924531677835157,none,0,0.6560324262344106,1,0,0,1,1,1,0.37880219096235423,1,1
